Race,Category,Name,Bib,Chip,Start Time,End Time,Lap,Lap time
CXR 4 - Frontier Park,Cat. 4 Men,MATTHEW BASALDUA,40,13776,2017-10-29 09:24:02.760000,2017-10-29 09:54:32.290000,1,0:10:07.750000
CXR 4 - Frontier Park,Cat. 4 Men,MATTHEW BASALDUA,40,13776,2017-10-29 09:24:02.760000,2017-10-29 09:54:32.290000,2,0:10:14.260000
CXR 4 - Frontier Park,Cat. 4 Men,MATTHEW BASALDUA,40,13776,2017-10-29 09:24:02.760000,2017-10-29 09:54:32.290000,3,0:10:07.520000
CXR 4 - Frontier Park,Cat. 4 Men,TREY TREFRY,111,13915,2017-10-29 09:24:03.810000,2017-10-29 09:54:34.520000,1,0:10:08.450000
CXR 4 - Frontier Park,Cat. 4 Men,TREY TREFRY,111,13915,2017-10-29 09:24:03.810000,2017-10-29 09:54:34.520000,2,0:10:13.760000
CXR 4 - Frontier Park,Cat. 4 Men,TREY TREFRY,111,13915,2017-10-29 09:24:03.810000,2017-10-29 09:54:34.520000,3,0:10:08.500000
CXR 4 - Frontier Park,Cat. 4 Men,PAUL STREFLING,10,9983,2017-10-29 09:24:08.250000,2017-10-29 09:55:14.340000,1,0:10:24.010000
CXR 4 - Frontier Park,Cat. 4 Men,PAUL STREFLING,10,9983,2017-10-29 09:24:08.250000,2017-10-29 09:55:14.340000,2,0:10:21.760000
CXR 4 - Frontier Park,Cat. 4 Men,PAUL STREFLING,10,9983,2017-10-29 09:24:08.250000,2017-10-29 09:55:14.340000,3,0:10:20.320000
CXR 4 - Frontier Park,Cat. 4 Men,COLE GAR-AOUY,132,13911,2017-10-29 09:24:09,2017-10-29 09:55:14.020000,1,0:10:21.020000
CXR 4 - Frontier Park,Cat. 4 Men,COLE GAR-AOUY,132,13911,2017-10-29 09:24:09,2017-10-29 09:55:14.020000,2,0:10:25.310000
CXR 4 - Frontier Park,Cat. 4 Men,COLE GAR-AOUY,132,13911,2017-10-29 09:24:09,2017-10-29 09:55:14.020000,3,0:10:18.690000
CXR 4 - Frontier Park,Cat. 4 Men,THOMAS BARON,9,10988,2017-10-29 09:24:11.250000,2017-10-29 09:55:11.290000,1,0:10:14.760000
CXR 4 - Frontier Park,Cat. 4 Men,THOMAS BARON,9,10988,2017-10-29 09:24:11.250000,2017-10-29 09:55:11.290000,2,0:10:28.760000
CXR 4 - Frontier Park,Cat. 4 Men,THOMAS BARON,9,10988,2017-10-29 09:24:11.250000,2017-10-29 09:55:11.290000,3,0:10:16.520000
CXR 4 - Frontier Park,Cat. 4 Men,MAARTEN BRUGMANS,55,229,2017-10-29 09:24:15.750000,2017-10-29 09:55:57.020000,1,0:10:21.010000
CXR 4 - Frontier Park,Cat. 4 Men,MAARTEN BRUGMANS,55,229,2017-10-29 09:24:15.750000,2017-10-29 09:55:57.020000,2,0:10:33.510000
CXR 4 - Frontier Park,Cat. 4 Men,MAARTEN BRUGMANS,55,229,2017-10-29 09:24:15.750000,2017-10-29 09:55:57.020000,3,0:10:46.750000
CXR 4 - Frontier Park,Cat. 4 Men,CONNOR GIZINSKI,189,940,2017-10-29 09:24:17.250000,2017-10-29 09:35:11.020000,1,0:10:53.770000
CXR 4 - Frontier Park,Cat. 4 Men,TRENTON CHERCO,184,9761,2017-10-29 09:24:21.750000,2017-10-29 09:34:56.020000,1,0:10:34.270000
CXR 4 - Frontier Park,Cat. 4 Men,MATTHEW ADOLF,116,13312,2017-10-29 09:24:24.250000,2017-10-29 09:57:22.780000,1,0:10:57.520000
CXR 4 - Frontier Park,Cat. 4 Men,MATTHEW ADOLF,116,13312,2017-10-29 09:24:24.250000,2017-10-29 09:57:22.780000,2,0:11:05.810000
CXR 4 - Frontier Park,Cat. 4 Men,MATTHEW ADOLF,116,13312,2017-10-29 09:24:24.250000,2017-10-29 09:57:22.780000,3,0:10:55.200000
CXR 4 - Frontier Park,Cat. 4 Men,DANIEL ROSSANO,205,13142,2017-10-29 09:24:25.250000,2017-10-29 09:56:48.290000,1,0:10:40.760000
CXR 4 - Frontier Park,Cat. 4 Men,DANIEL ROSSANO,205,13142,2017-10-29 09:24:25.250000,2017-10-29 09:56:48.290000,2,0:10:51.020000
CXR 4 - Frontier Park,Cat. 4 Men,DANIEL ROSSANO,205,13142,2017-10-29 09:24:25.250000,2017-10-29 09:56:48.290000,3,0:10:51.260000
CXR 4 - Frontier Park,Cat. 4 Men,JOSEPH SWAIN,190,4458,2017-10-29 09:24:28.500000,2017-10-29 09:56:37.540000,1,0:10:30.760000
CXR 4 - Frontier Park,Cat. 4 Men,JOSEPH SWAIN,190,4458,2017-10-29 09:24:28.500000,2017-10-29 09:56:37.540000,2,0:10:52.270000
CXR 4 - Frontier Park,Cat. 4 Men,JOSEPH SWAIN,190,4458,2017-10-29 09:24:28.500000,2017-10-29 09:56:37.540000,3,0:10:46.010000
CXR 4 - Frontier Park,Cat. 4 Men,JEFF EVANS,137,10468,2017-10-29 09:24:35,2017-10-29 09:58:14.780000,1,0:11:03.070000
CXR 4 - Frontier Park,Cat. 4 Men,JEFF EVANS,137,10468,2017-10-29 09:24:35,2017-10-29 09:58:14.780000,2,0:11:07.210000
CXR 4 - Frontier Park,Cat. 4 Men,JEFF EVANS,137,10468,2017-10-29 09:24:35,2017-10-29 09:58:14.780000,3,0:11:29.500000
